,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,github_dependent_project_count,labels
0,zio,zio/zio,dev.zio:zio_2.13,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-03-16 18:07:52,2023-03-16 05:42:21,6988,185.0,1133,118,5590,363.0,1938.0,3738,2023-03-06 19:15:50,2.0.10,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",636,31,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-03-06 19:15:50,454.0,454.0,True,1,,
1,circe,circe/circe,io.circe:circe-core_2.13,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-03-16 15:02:02,2023-03-15 21:59:17,2947,34.0,527,66,1596,197.0,353.0,2374,2023-03-03 16:30:56,0.14.5,68.0,Yet another JSON library for Scala.,260,28,https://search.maven.org/artifact/io.circe/circe-core_2.13,2023-03-03 16:30:56,280.0,280.0,True,1,,
2,elastic4s,sksamuel/elastic4s,com.sksamuel.elastic4s:elastic4s_2.13,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-03-10 19:59:22,2023-01-25 05:07:49,4668,14.0,687,75,1707,25.0,1102.0,1618,2022-12-18 23:52:34,8.5.2,29.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",393,25,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,True,1,,
3,scalikejdbc,scalikejdbc/scalikejdbc,org.scalikejdbc:scalikejdbc_2.13,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-03-16 05:02:42,2023-03-12 00:46:39,3153,34.0,225,61,1419,27.0,448.0,1235,2021-10-31 01:07:09,4.0.0,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,103,23,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2021-10-31 00:52:48,7.0,7.0,True,3,,
4,argonaut,argonaut-io/argonaut,io.argonaut:argonaut_2.13,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2023-03-11 02:02:39,2023-03-11 02:02:37,1579,25.0,112,26,508,27.0,168.0,541,2022-01-20 23:50:14,6.3.8,14.0,Purely functional JSON parser and library in scala.,59,22,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2022-01-20 23:50:14,15.0,15.0,True,1,,
5,spray-json,spray/spray-json,io.spray:spray-json_2.13,json,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331,,582,37,154,97.0,116.0,2542,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",48,21,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,181.0,38.0,False,2,143.0,
6,json4s,json4s/json4s,,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2023-03-11 00:05:34,2023-03-10 19:06:46,1709,26.0,347,65,852,147.0,251.0,1441,,,,JSON library.,126,20,,,,,True,2,,
7,jsoniter-scala,plokhotnyuk/jsoniter-scala,,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2023-03-16 10:40:04,2023-03-16 10:40:13,4202,128.0,75,20,737,54.0,212.0,623,2023-03-11 12:37:08,2.21.3,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,17,20,,,1.0,,True,2,1.0,
8,zio-json,zio/zio-json,,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2023-03-16 00:06:45,2023-03-13 00:18:21,524,46.0,106,23,768,65.0,78.0,375,2022-12-05 14:17:27,0.4.2,28.0,"Fast, secure JSON library with tight ZIO integration.",51,20,,,,,True,2,,['zio']
9,play-json,playframework/play-json,,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-03-09 22:48:58,2023-03-09 22:48:58,1144,30.0,127,21,747,44.0,73.0,342,2023-01-24 07:38:59,2.9.4,12.0,The Play JSON library.,62,20,,,,,True,2,,['play']
10,jawn,typelevel/jawn,,json,https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,MIT,2012-10-01 02:04:45,2023-03-04 04:55:20,2023-02-23 22:49:01,1156,27.0,67,21,451,15.0,55.0,421,2022-07-05 19:18:25,1.4.0,20.0,Jawn is for parsing jay-sawn (JSON).,45,19,,,,,True,3,,
11,jackson-module-scala,FasterXML/jackson-module-scala,,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2023-03-14 08:55:13,2023-03-14 08:55:10,1629,19.0,139,27,180,45.0,398.0,484,,,,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,58,18,,,,,True,3,,
12,diffson,gnieh/diffson,,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-03-08 19:05:42,2023-03-02 19:22:19,456,34.0,52,12,288,10.0,43.0,295,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,30,18,,,,,True,3,,
13,borer,sirthias/borer,,json,https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2023-03-10 19:58:41,2023-02-09 16:29:39,962,8.0,12,8,517,7.0,101.0,189,,,,Efficient CBOR and JSON (de)serialization in Scala.,8,12,,,,,True,3,,
14,scala-jsonapi,scala-jsonapi/scala-jsonapi,,json,https://github.com/scala-jsonapi/scala-jsonapi,https://github.com/scala-jsonapi/scala-jsonapi,MIT,2015-11-09 12:47:14,2018-12-28 12:29:57,2018-06-11 08:54:13,135,,24,29,52,16.0,34.0,108,,,,"Scala support library for integrating the JSON API spec with Spray, Play! or Circe.",20,11,,,,,False,3,,
15,zio-elasticsearch,lambdaworks/zio-elasticsearch,,db-clients,https://github.com/lambdaworks/zio-elasticsearch,https://github.com/lambdaworks/zio-elasticsearch,Apache-2.0,2022-08-07 09:04:07,2023-03-16 15:29:31,2023-03-15 13:24:27,104,75.0,4,10,97,14.0,5.0,40,,,,"ZIO Elasticsearch is a type-safe, testable and streaming-friendly ZIO native Elasticsearch client.",7,11,,,,,True,3,,['zio']
