,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,new_addition,trending,github_dependent_project_count,updated_github_id,labels,github_release_downloads,monthly_downloads
0,zio,zio/zio,dev.zio:zio_2.13,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-03-17 16:10:02,2023-03-17 15:27:36,6990,186.0,1133,118,5591.0,363.0,1938.0,3740,2023-03-06 19:15:50,2.0.10,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",636,31,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-03-06 19:15:50,454.0,454.0,True,1,,,,,,,
1,circe,circe/circe,io.circe:circe-core_2.13,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-03-18 14:35:48,2023-03-15 21:59:17,2947,34.0,527,66,1597.0,197.0,353.0,2373,2023-03-03 16:30:56,0.14.5,68.0,Yet another JSON library for Scala.,260,28,https://search.maven.org/artifact/io.circe/circe-core_2.13,2023-03-03 16:30:56,280.0,280.0,True,1,,,,,,,
2,slick,slick/slick,,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-03-18 20:15:57,2023-03-18 08:37:04,3070,86.0,606,151,1294.0,410.0,932.0,2593,2022-09-13 19:27:07,3.4.1,15.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,197,25,,,,,True,1,True,,,,,,
3,doobie,tpolecat/doobie,,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-03-06 21:45:43,2023-03-06 13:41:08,3210,89.0,334,67,1320.0,166.0,369.0,2038,2022-01-31 22:59:44,1.0.0-RC2,16.0,Functional JDBC layer for Scala.,159,24,,,,,True,1,True,,,,,,
4,sangria,sangria-graphql/sangria,,misc,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-03-17 18:40:33,2023-03-11 10:03:32,1898,68.0,214,61,530.0,54.0,400.0,1931,2023-03-09 16:07:42,3.5.3,74.0,Scala GraphQL implementation.,61,24,,,,,True,1,True,,,,,,
5,elastic4s,sksamuel/elastic4s,com.sksamuel.elastic4s:elastic4s_2.13,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-03-18 20:05:58,2023-01-25 05:07:49,4668,6.0,687,75,1709.0,24.0,1103.0,1617,2022-12-18 23:52:34,8.5.2,29.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",393,24,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,True,1,,-1.0,,,,,
6,scalikejdbc,scalikejdbc/scalikejdbc,org.scalikejdbc:scalikejdbc_2.13,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-03-18 06:37:44,2023-03-18 06:36:28,3155,35.0,225,61,1424.0,27.0,448.0,1235,2021-10-31 01:07:09,4.0.0,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,103,23,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2021-10-31 00:52:48,7.0,7.0,True,1,,,,,,,
7,skunk,tpolecat/skunk,,db-clients,https://github.com/tpolecat/skunk,https://github.com/tpolecat/skunk,MIT,2018-09-21 06:46:41,2023-03-18 05:08:19,2023-02-15 11:02:38,1400,93.0,129,30,707.0,66.0,54.0,1422,2023-01-20 00:56:55,0.5.1,23.0,A data access library for Scala + Postgres.,58,22,,,,,True,1,True,,,,,,
8,slick-pg,tminglei/slick-pg,,db-clients,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2023-03-15 02:04:15,2023-03-15 02:00:28,1125,27.0,177,22,251.0,107.0,267.0,817,2022-12-08 23:15:05,0.21.1,88.0,Slick extensions for PostgreSQL.,91,22,,,,,True,1,True,,,,,,
9,argonaut,argonaut-io/argonaut,io.argonaut:argonaut_2.13,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2023-03-17 01:42:00,2023-03-17 01:41:59,1580,25.0,112,26,510.0,27.0,168.0,541,2022-01-20 23:50:14,6.3.8,14.0,Purely functional JSON parser and library in scala.,59,22,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2022-01-20 23:50:14,15.0,15.0,True,1,,,,,,,
