,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,trending,github_dependent_project_count,labels,github_release_downloads,monthly_downloads
0,zio,zio/zio,dev.zio:zio_2.13,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-03-30 15:31:14,2023-03-30 13:01:20,7026,213.0,1133,119,5626.0,363.0,1941.0,3755,2023-03-06 19:15:50,2.0.10,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",639,32,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-03-06 19:15:50,454.0,454.0,True,1,1.0,,,,
1,playframework,playframework/playframework,,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-03-29 21:22:13,2023-03-27 11:43:19,12728,282.0,4086,658,7973.0,462.0,3251.0,12349,2023-01-13 17:31:24,2.8.19,58.0,Play Framework.,951,31,,,,,True,1,,,,,
2,circe,circe/circe,io.circe:circe-core_2.13,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-03-29 22:39:31,2023-03-29 22:39:31,2951,33.0,527,66,1602.0,197.0,353.0,2380,2023-03-03 16:30:56,0.14.5,68.0,Yet another JSON library for Scala.,261,28,https://search.maven.org/artifact/io.circe/circe-core_2.13,2023-03-03 16:30:56,280.0,280.0,True,1,,,,,
3,slick,slick/slick,,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-03-29 13:55:18,2023-03-29 13:55:16,3090,104.0,606,149,1311.0,410.0,932.0,2591,2022-09-13 19:27:07,3.4.1,15.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,198,25,,,,,True,1,,,,,
4,elastic4s,sksamuel/elastic4s,com.sksamuel.elastic4s:elastic4s_2.13,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-03-26 18:22:44,2023-03-26 00:15:33,4686,24.0,687,75,1711.0,20.0,1109.0,1619,2023-03-25 01:01:44,8.5.4,31.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",394,25,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,True,1,1.0,,,,
5,finatra,twitter/finatra,,web-frameworks,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2023-03-14 02:25:04,2023-03-14 02:25:04,2643,10.0,408,217,264.0,13.0,309.0,2236,2022-12-26 14:40:15,finatra-22.12.0,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",251,24,,,,,True,1,,,,,
6,doobie,tpolecat/doobie,,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-03-30 15:22:15,2023-03-30 15:22:14,3216,72.0,334,67,1324.0,166.0,369.0,2040,2022-01-31 22:59:44,1.0.0-RC2,16.0,Functional JDBC layer for Scala.,159,24,,,,,True,1,,,,,
7,sangria,sangria-graphql/sangria,,misc,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-03-30 15:57:09,2023-03-30 15:49:35,1917,85.0,214,61,532.0,54.0,401.0,1933,2023-03-09 16:07:42,3.5.3,75.0,Scala GraphQL implementation.,62,24,,,,,True,1,,,,,
8,scalikejdbc,scalikejdbc/scalikejdbc,org.scalikejdbc:scalikejdbc_2.13,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-03-30 05:03:14,2023-03-25 06:18:35,3162,38.0,225,61,1443.0,27.0,448.0,1237,2021-10-31 01:07:09,4.0.0,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,103,23,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2021-10-31 00:52:48,7.0,7.0,True,1,,,,,
9,Binding.scala,ThoughtWorksInc/Binding.scala,,web-frameworks,https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2023-03-28 20:17:45,2023-03-09 15:38:49,1563,89.0,109,118,391.0,42.0,62.0,1572,2023-01-26 04:19:51,12.2.0,82.0,Reactive data-binding for Scala.,25,22,,,,,True,2,,,,,
10,skunk,tpolecat/skunk,,db-clients,https://github.com/tpolecat/skunk,https://github.com/tpolecat/skunk,MIT,2018-09-21 06:46:41,2023-03-29 05:15:50,2023-03-28 14:55:15,1439,125.0,134,30,717.0,80.0,54.0,1434,2023-01-20 00:56:55,0.5.1,23.0,A data access library for Scala + Postgres.,60,22,,,,,True,1,,,,,
11,slick-pg,tminglei/slick-pg,,db-clients,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2023-03-27 02:06:35,2023-03-27 02:06:35,1133,35.0,177,22,255.0,110.0,267.0,818,2022-12-08 23:15:05,0.21.1,88.0,Slick extensions for PostgreSQL.,91,22,,,,,True,1,,,,,
12,argonaut,argonaut-io/argonaut,io.argonaut:argonaut_2.13,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2023-03-30 00:22:16,2023-03-27 03:36:51,1583,26.0,112,26,517.0,27.0,168.0,540,2022-01-20 23:50:14,6.3.8,14.0,Purely functional JSON parser and library in scala.,59,22,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2022-01-20 23:50:14,15.0,15.0,True,1,,,,,
13,spray-json,spray/spray-json,io.spray:spray-json_2.13,json,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331,,582,37,154.0,97.0,116.0,2542,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",48,21,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,181.0,38.0,True,2,,143.0,,,
14,scalajs-react,japgolly/scalajs-react,,web-frameworks,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2023-03-06 08:50:32,2022-06-24 03:27:25,3190,,236,67,552.0,23.0,507.0,1613,2022-04-26 04:07:04,2.1.1,65.0,Facebooks React on Scala.JS.,80,21,,,,,True,2,,,,,
15,framework,lift/framework,,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2022-06-14 16:43:52,2021-10-08 15:18:07,3930,,276,106,530.0,147.0,1323.0,1263,2021-10-08 15:12:09,3.5.0-release,52.0,Lift Framework.,118,21,,,,,True,2,,,,,
16,udash-core,UdashFramework/udash-core,,web-frameworks,https://github.com/UdashFramework/udash-core,https://github.com/UdashFramework/udash-core,Apache-2.0,2016-02-25 09:35:23,2023-03-28 21:01:21,2023-03-28 15:07:18,3249,81.0,36,21,975.0,30.0,86.0,433,2023-03-20 16:09:29,0.9.0,16.0,Scala framework for building beautiful and maintainable web applications.,36,21,,,,,True,2,2.0,,,,
17,scanamo,scanamo/scanamo,,db-clients,https://github.com/scanamo/scanamo,https://github.com/scanamo/scanamo,Apache-2.0,2016-02-01 10:58:52,2023-03-28 19:05:28,2023-03-06 20:42:43,2048,10.0,118,37,1439.0,70.0,151.0,316,2022-11-02 11:53:51,1.0.0-M23,12.0,Simpler DynamoDB access for Scala.,78,21,,,,,True,2,,,,,
18,json4s,json4s/json4s,,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2023-03-30 05:05:15,2023-03-25 07:00:19,1714,29.0,347,66,866.0,147.0,252.0,1443,,,,JSON library.,126,20,,,,,True,2,,,,,
19,ReactiveMongo,ReactiveMongo/ReactiveMongo,,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2023-03-26 20:16:14,2023-03-26 19:43:56,1316,12.0,232,56,827.0,15.0,363.0,837,2020-01-03 02:08:23,0.20.0,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",87,20,,,,,True,2,,,,,
20,jsoniter-scala,plokhotnyuk/jsoniter-scala,,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2023-03-29 18:56:04,2023-03-29 08:48:26,4227,139.0,75,20,739.0,50.0,218.0,634,2023-03-28 09:59:49,2.22.1,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,18,20,,,1.0,,True,2,,1.0,,,
21,zio-json,zio/zio-json,,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2023-03-29 01:48:16,2023-03-29 01:48:16,532,49.0,110,23,779.0,72.0,78.0,376,2023-03-18 14:43:34,0.5.0,29.0,"Fast, secure JSON library with tight ZIO integration.",52,20,,,,,True,2,,,['zio'],,
22,colossus,tumblr/colossus,,web-frameworks,https://github.com/tumblr/colossus,https://github.com/tumblr/colossus,Apache-2.0,2014-11-11 16:06:06,2021-08-14 08:40:07,2018-11-08 17:52:05,1325,,103,77,411.0,4.0,270.0,1153,2018-01-24 17:31:20,0.11.0,32.0,I/O and Microservice library for Scala.,28,19,,,,,False,2,,,,,
23,phantom,outworkers/phantom,,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2021-08-16 22:07:29,2021-08-16 22:07:29,1120,,189,75,511.0,19.0,403.0,1045,2020-08-10 21:50:24,2.59.0,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",51,19,,,,,False,2,,,,,
24,skinny-framework,skinny-framework/skinny-framework,,web-frameworks,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996,,72,46,287.0,21.0,134.0,737,2022-12-14 08:24:58,4.0.1,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,32,19,,,,,True,2,,,,11832.0,112.0
25,jawn,typelevel/jawn,,json,https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,MIT,2012-10-01 02:04:45,2023-03-28 20:20:05,2023-03-22 21:00:22,1159,30.0,67,21,454.0,15.0,55.0,423,2022-07-05 19:18:25,1.4.0,20.0,Jawn is for parsing jay-sawn (JSON).,45,19,,,,,True,2,,,,,
26,play-json,playframework/play-json,,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-03-28 08:45:28,2023-03-28 08:45:28,1148,34.0,127,20,750.0,44.0,74.0,343,2023-01-24 07:38:59,2.9.4,12.0,The Play JSON library.,62,19,,,,,True,2,-1.0,,['play'],,
27,scalatra,scalatra/scalatra,,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2023-03-25 05:45:54,2023-03-18 03:36:38,3907,25.0,331,84,1073.0,68.0,367.0,2587,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",134,18,,,,,False,3,,,,,
28,quill,zio/zio-quill,,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-03-24 15:35:00,2023-01-22 17:15:20,3340,2.0,335,69,1706.0,368.0,705.0,2109,,,,Compile-time Language Integrated Queries for Scala.,134,18,,,,,True,2,,,['zio'],,
29,korolev,fomkin/korolev,,web-frameworks,https://github.com/fomkin/korolev,https://github.com/fomkin/korolev,Apache-2.0,2016-08-10 16:19:56,2023-01-23 17:30:58,2023-01-23 08:26:20,663,3.0,50,21,219.0,12.0,222.0,576,2022-08-16 08:04:00,1.5.0,35.0,Single Page Applications running on the server side.,25,18,,,,,True,3,,,,,
