,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,dependent_project_count,github_dependent_project_count,new_addition,updated_github_id,labels
0,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-04-03 15:07:12,2023-04-03 14:15:02,12747,301.0,4003,659,7975.0,409.0,3251.0,12354,2023-01-13 17:31:24,2.8.19,58.0,Play Framework.,951.0,31,True,1,,,,,,,,,
1,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2023-03-30 14:57:17,2023-03-28 10:34:53,4032,62.0,281,56,1693.0,312.0,702.0,1944,2023-03-13 14:03:10,2.1.0,100.0,Pure Scala Artifact Fetching.,136.0,29,True,1,6550514.0,142402.0,,,,,,,
2,zio,zio/zio,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-04-03 20:50:18,2023-04-02 12:40:42,7031,213.0,1128,119,5633.0,363.0,1943.0,3759,2023-03-06 18:16:10,2.0.10,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",639.0,28,True,1,,,dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,,,,,
3,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-03-30 20:24:07,2023-03-30 20:24:07,2670,11.0,524,108,897.0,28.0,380.0,3328,2022-09-12 22:32:36,2.3.10,7.0,Generic programming for Scala.,152.0,26,True,1,,,,,100.0,100.0,True,,
4,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2023-04-01 23:12:51,2023-03-29 05:00:56,6428,97.0,1120,191,3224.0,189.0,969.0,4879,2022-11-12 21:20:14,2.9.0,63.0,"Lightweight, modular, and extensible library for functional programming.",530.0,25,False,1,,,,,,,True,,
5,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-03-30 23:40:30,2023-03-29 13:55:16,3090,104.0,574,149,1311.0,400.0,932.0,2592,2022-09-13 19:27:07,3.4.1,15.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,198.0,25,True,1,,,,,,,,,
6,Ammonite,lihaoyi/Ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,,2015-01-13 07:34:38,2023-03-30 15:21:24,2023-03-30 15:02:13,2690,17.0,352,64,543.0,112.0,672.0,2561,2023-02-08 15:19:33,2.5.8,100.0,Scala Scripting.,132.0,25,False,1,814758.0,10581.0,,,,,True,com-lihaoyi/Ammonite,
7,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-03-30 23:32:53,2023-03-26 00:15:33,4686,24.0,673,75,1713.0,12.0,1116.0,1620,2023-03-25 01:01:44,8.5.4,31.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",394.0,25,True,1,,,com.sksamuel.elastic4s:elastic4s_2.13,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,,
8,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-04-03 13:34:24,2023-03-29 22:39:31,2951,33.0,511,66,1605.0,161.0,353.0,2381,2023-03-03 15:49:47,0.14.5,68.0,Yet another JSON library for Scala.,261.0,24,True,1,,,io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,,,,,
9,finatra,twitter/finatra,web-frameworks,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2023-04-03 18:12:01,2023-04-03 18:12:00,2644,11.0,397,217,264.0,11.0,309.0,2241,2022-12-26 14:40:15,finatra-22.12.0,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",251.0,24,True,1,,,,,,,,,
