,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,dependent_project_count,github_dependent_project_count,new_addition,trending,labels
0,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-04-05 22:39:48,2023-04-05 22:38:20,12758.0,308.0,4004.0,659.0,7981.0,408.0,3253.0,12355.0,2023-01-13 17:31:24,2.8.19,58.0,Play Framework.,951.0,31,True,1.0,,,,,,,,,
1,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2023-04-06 17:10:32,2023-04-06 15:48:33,4040.0,69.0,282.0,56.0,1693.0,313.0,702.0,1948.0,2023-03-13 14:03:10,2.1.0,100.0,Pure Scala Artifact Fetching.,136.0,29,True,1.0,6599267.0,143462.0,,,,,,,
2,zio,zio/zio,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-04-06 17:49:47,2023-04-05 13:33:07,7042.0,219.0,1133.0,119.0,5643.0,364.0,1945.0,3760.0,2023-04-06 17:49:47,2.0.11,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",643.0,28,True,1.0,,,dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,,,,,
3,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-04-06 14:59:04,2023-04-06 14:38:39,16779.0,302.0,746.0,78.0,5572.0,214.0,1117.0,2395.0,2023-01-17 19:40:07,0.23.18,100.0,"A minimal, idiomatic Scala interface for HTTP.",439.0,28,True,1.0,,,,,,,,,
4,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2023-04-06 07:26:20,2023-04-06 07:25:32,10079.0,68.0,1136.0,232.0,798.0,41.0,3564.0,5881.0,,,,Modern Load Testing as Code.,221.0,26,True,1.0,,,,,,,,,
5,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-03-30 20:24:07,2023-03-30 20:24:07,2670.0,11.0,524.0,109.0,897.0,28.0,380.0,3327.0,2022-09-12 22:32:36,2.3.10,7.0,Generic programming for Scala.,152.0,26,True,1.0,,,,,100.0,100.0,,,
6,sttp,softwaremill/sttp,http,https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2023-04-06 15:02:20,2023-04-06 07:51:14,5070.0,231.0,263.0,44.0,1408.0,45.0,337.0,1347.0,2023-03-29 15:58:37,3.8.14,88.0,The Scala HTTP client you always wanted!.,186.0,26,True,1.0,,,,,,,,,
7,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-04-06 07:56:53,2023-04-06 07:56:53,7521.0,293.0,333.0,51.0,2174.0,96.0,543.0,1192.0,2023-04-03 21:47:34,1.2.12,100.0,"Declarative, type-safe web endpoints library.",230.0,26,True,1.0,,,,,,,,,
8,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2023-04-06 15:01:34,2023-04-06 14:56:21,6430.0,93.0,1121.0,190.0,3226.0,189.0,969.0,4882.0,2022-11-12 21:20:14,2.9.0,63.0,"Lightweight, modular, and extensible library for functional programming.",530.0,25,False,1.0,,,,,,,,,
9,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-03-30 23:40:30,2023-03-29 13:55:16,3090.0,101.0,575.0,149.0,1311.0,400.0,932.0,2592.0,2022-09-13 19:27:07,3.4.1,15.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,198.0,25,True,1.0,,,,,,,,,
