,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels
0,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-06-22 01:43:14,2023-06-14 08:30:26,12945.0,224.0,4009.0,654.0,8058.0,407.0,3267.0,12411.0,2023-01-13 17:31:24,2.8.19,58.0,Play Framework.,956.0,31,True,1.0,,,,,,,,,
1,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2023-06-20 13:41:25,2023-06-19 09:12:54,4096.0,65.0,281.0,56.0,1740.0,320.0,705.0,1954.0,2023-06-19 09:14:09,2.1.5,100.0,Pure Scala Artifact Fetching.,138.0,29,True,1.0,7645433.0,162668.0,,,,,,,
2,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-06-22 13:31:20,2023-06-22 10:13:17,16985.0,218.0,757.0,76.0,5679.0,226.0,1127.0,2427.0,2023-06-16 19:14:50,0.23.21,100.0,"A minimal, idiomatic Scala interface for HTTP.",446.0,28,True,1.0,,,,,,,,,
3,zio,zio/zio,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-06-22 10:33:28,2023-06-19 18:16:21,7192.0,179.0,1163.0,117.0,5820.0,353.0,2002.0,3813.0,2023-06-05 23:39:00,2.0.15,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",663.0,27,True,1.0,,,dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,-1.0,,,,
4,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2023-06-20 15:02:52,2023-06-06 12:28:33,2716.0,27.0,355.0,66.0,562.0,119.0,673.0,2567.0,2023-06-16 11:15:05,2.5.9,100.0,Scala Scripting.,135.0,27,True,1.0,834944.0,10568.0,,,,,,,
5,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2023-06-22 14:58:54,2023-06-22 14:58:38,10148.0,82.0,1142.0,233.0,807.0,42.0,3584.0,5965.0,,,,Modern Load Testing as Code.,223.0,26,True,1.0,,,,,,,,,
6,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-06-09 08:09:40,2023-06-08 22:25:18,2679.0,12.0,523.0,108.0,907.0,28.0,380.0,3333.0,2022-09-12 22:32:36,2.3.10,7.0,Generic programming for Scala.,153.0,26,True,1.0,,,,,,103.0,103.0,,
7,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-06-22 10:38:04,2023-06-21 07:11:00,7765.0,259.0,342.0,50.0,2300.0,89.0,587.0,1214.0,2023-06-15 20:11:33,1.5.5,100.0,"Declarative, type-safe web endpoints library.",239.0,26,True,1.0,,,,,,,,,
8,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-06-20 18:55:01,2023-06-19 04:17:29,3169.0,91.0,581.0,150.0,1357.0,398.0,936.0,2608.0,2022-09-13 19:27:07,3.4.1,16.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,199.0,25,True,1.0,,,,,,,,,
9,doobie,tpolecat/doobie,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-06-20 16:56:18,2023-06-20 16:44:34,3314.0,93.0,333.0,68.0,1360.0,135.0,381.0,2061.0,2023-06-20 16:56:18,1.0.0-RC4,18.0,Functional JDBC layer for Scala.,162.0,25,True,1.0,,,,,1.0,,,,
