,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,labels
0,sbt,sbt/sbt,env,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2023-06-26 04:13:50,2023-06-26 04:13:03,11840.0,119.0,918.0,174.0,3120.0,771.0,3315.0,4671.0,2023-06-26 05:41:52,1.9.1,10471119.0,151755.0,100.0,"sbt, the interactive build tool.",399.0,33,True,1.0,,,,,,,,
1,bigdl,intel-analytics/bigdl,sci,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2023-07-06 13:59:20,2023-07-06 12:04:04,20063.0,358.0,1101.0,237.0,6733.0,766.0,1171.0,4247.0,2023-04-24 02:17:43,2.3.0,,,18.0,"Fast, distributed, secure AI for Big Data.",179.0,33,True,1.0,44.0,44.0,,,,,,
2,gitbucket,gitbucket/gitbucket,env,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2023-06-29 22:45:46,2023-06-29 22:45:44,5743.0,50.0,1243.0,468.0,1581.0,332.0,1427.0,8929.0,2023-04-28 16:52:14,4.39.0,743892.0,6583.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",197.0,32,True,1.0,,,,,,,,
3,zio,zio/zio,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-07-05 23:13:26,2023-07-05 17:27:53,7213.0,166.0,1180.0,117.0,5845.0,364.0,2008.0,3825.0,2023-06-05 23:39:00,2.0.15,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",669.0,31,True,1.0,550.0,,dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-05-31 22:49:46,550.0,,
4,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-07-03 11:21:41,2023-07-03 11:20:47,12963.0,199.0,4115.0,652.0,8075.0,464.0,3268.0,12425.0,2023-01-13 17:31:24,2.8.19,,,58.0,Play Framework.,956.0,30,True,1.0,,,,,,,-1.0,
5,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2023-07-06 18:25:31,2023-07-06 16:19:10,37271.0,916.0,27110.0,2040.0,41853.0,258.0,,36167.0,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,2897.0,29,True,1.0,,,,,,,,
6,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2023-07-06 13:40:28,2023-07-04 08:45:57,8264.0,110.0,662.0,95.0,12920.0,36.0,762.0,3317.0,2023-07-03 20:54:13,5.0.0,,,100.0,State of the Art Natural Language Processing.,108.0,29,True,1.0,313.0,313.0,,,,,,
7,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2023-07-06 16:29:52,2023-06-19 09:12:54,4096.0,56.0,293.0,56.0,1749.0,355.0,707.0,1957.0,2023-06-19 09:14:09,2.1.5,7841760.0,163370.0,100.0,Pure Scala Artifact Fetching.,138.0,29,True,1.0,,,,,,,,
8,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2023-07-06 17:34:42,2023-07-06 17:22:28,11350.0,329.0,12784.0,1082.0,13968.0,1042.0,,25302.0,,,,,,Mirror of Apache Kafka.,1248.0,28,True,1.0,5.0,5.0,,,,,,
9,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2023-07-06 15:33:38,2023-07-06 15:20:09,26744.0,55.0,3617.0,589.0,11450.0,920.0,7027.0,12725.0,2023-06-30 12:48:22,2.8.3,,,40.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",1045.0,28,False,1.0,,,,,,,,
10,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-07-05 18:31:11,2023-07-05 18:25:16,17038.0,236.0,774.0,75.0,5696.0,314.0,1129.0,2432.0,2023-06-28 07:12:27,0.23.22,,,100.0,"A minimal, idiomatic Scala interface for HTTP.",447.0,28,True,1.0,,,,,,,,
11,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2023-07-06 18:22:35,2023-07-06 18:22:35,33646.0,505.0,12265.0,943.0,22952.0,1030.0,,21532.0,,,,,,Apache Flink.,1743.0,27,True,1.0,,,,,,,,
12,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2023-07-04 17:44:16,2023-07-04 12:31:22,2718.0,20.0,367.0,67.0,563.0,129.0,673.0,2566.0,2023-06-16 11:15:05,2.5.9,841484.0,10518.0,100.0,Scala Scripting.,136.0,27,True,1.0,,,,,,,,
13,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-07-06 16:05:55,2023-07-06 14:39:50,2957.0,5.0,527.0,68.0,1640.0,197.0,353.0,2409.0,2023-03-03 16:30:56,0.14.5,,,68.0,Yet another JSON library for Scala.,261.0,27,True,1.0,280.0,,io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,2023-03-03 16:30:56,280.0,,
14,mill,com-lihaoyi/mill,env,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,,2017-10-17 03:43:19,2023-07-05 15:27:45,2023-07-05 14:34:18,3129.0,152.0,274.0,49.0,1784.0,108.0,635.0,1883.0,2023-06-23 17:15:52,0.11.1,1082482.0,16653.0,95.0,Your shiny new Java/Scala build tool!.,196.0,27,False,1.0,,,,,,,,
15,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2023-07-02 19:51:25,2023-06-30 23:47:12,2382.0,47.0,268.0,48.0,995.0,16.0,534.0,1256.0,2023-02-07 04:34:38,0.11.13,395579.0,4824.0,100.0,Protocol buffer compiler for Scala.,120.0,27,True,1.0,,,,,,,,
16,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2023-07-04 08:42:38,2023-07-04 08:41:04,10157.0,77.0,1166.0,234.0,808.0,45.0,3586.0,5984.0,,,,,,Modern Load Testing as Code.,222.0,26,True,1.0,,,,,,,,
