,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,maven_id,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
0,sbt,sbt/sbt,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2023-08-10 14:25:05,2023-08-04 07:32:31,11855,92.0,920.0,174,3128.0,771.0,3331.0,4677,2023-07-24 06:19:20,1.9.3,10949468.0,158687.0,100.0,"sbt, the interactive build tool.",401.0,33,True,1,,,,,,,,
1,playframework,playframework/playframework,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-08-01 18:00:22,2023-07-21 14:54:56,12990,119.0,4115.0,647,8102.0,470.0,3272.0,12426,2023-07-21 15:23:56,2.8.20,,,59.0,Play Framework.,958.0,32,True,1,com.typesafe.play:play_3,24.0,4.0,https://search.maven.org/artifact/com.typesafe.play/play_3,2023-06-05 12:11:12,20.0,,
2,gitbucket,gitbucket/gitbucket,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2023-08-10 18:27:46,2023-08-10 18:27:44,5760,40.0,1243.0,463,1599.0,332.0,1428.0,8946,2023-04-28 16:52:14,4.39.0,750564.0,6583.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",197.0,32,True,1,,4.0,4.0,,,,1.0,
3,bigdl,intel-analytics/bigdl,sci,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2023-08-10 14:41:48,2023-08-10 10:04:03,20265,419.0,1092.0,236,6961.0,772.0,1183.0,4282,2023-04-24 02:17:43,2.3.0,,,18.0,"Fast, distributed, secure AI for Big Data.",179.0,32,True,1,,45.0,45.0,,,,,
4,zio,zio/zio,ecosystems,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-08-10 14:31:51,2023-08-10 00:20:21,7254,131.0,1180.0,114,5891.0,364.0,2019.0,3854,2023-06-06 00:50:53,2.0.15,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",671.0,31,True,1,dev.zio:zio_2.13,822.0,,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-06-06 00:50:53,822.0,,
5,spark,apache/spark,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2023-08-10 17:56:55,2023-08-10 15:19:05,37691,1002.0,27235.0,2041,42406.0,257.0,,36414,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,2921.0,29,True,1,,,,,,,,
6,akka,akka/akka,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2023-08-10 16:27:03,2023-08-07 12:09:05,26754,48.0,3617.0,588,11461.0,920.0,7029.0,12752,2023-06-30 12:48:22,2.8.3,,,40.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",1047.0,29,False,1,,4.0,4.0,,,,1.0,
7,spark-nlp,johnsnowlabs/spark-nlp,sci,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2023-08-09 10:05:52,2023-08-04 09:15:46,8289,76.0,664.0,96,12949.0,39.0,770.0,3356,2023-08-02 20:10:07,5.0.2,,,100.0,State of the Art Natural Language Processing.,108.0,29,True,1,,329.0,329.0,,,,,
8,mill,com-lihaoyi/mill,development-cycle,,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2023-08-08 13:01:43,2023-08-08 12:58:23,3147,115.0,275.0,48,1801.0,106.0,650.0,1891,2023-06-23 17:15:52,0.11.1,1133414.0,17172.0,95.0,Your shiny new Java/Scala build tool!.,196.0,29,True,2,,,,,,,,
9,kafka,apache/kafka,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2023-08-10 18:06:12,2023-08-10 18:06:12,11505,339.0,12839.0,1077,14183.0,1047.0,,25566,,,,,,Mirror of Apache Kafka.,1270.0,28,True,1,,8.0,8.0,,,,,
