,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2023-09-28 14:39:32,2023-09-24 23:38:14,5793,50.0,1243.0,463,1632.0,332.0,1430.0,8970,2023-04-28 16:52:14,4.39.0,760219.0,6610.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",15.0,15.0,197.0,34,True,1,,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-09-28 17:56:01,2023-09-28 09:12:27,13176,215.0,4120.0,640,8161.0,451.0,3291.0,12436,2023-07-21 15:23:56,2.8.20,,,60.0,Play Framework.,36.0,15.0,961.0,33,True,1,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2023-09-18 18:54:25,21.0,,
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2023-09-25 15:50:22,2023-09-21 17:54:31,11886,45.0,924.0,172,3141.0,774.0,3340.0,4686,2023-09-15 16:08:52,1.9.6,11608244.0,168235.0,100.0,"sbt, the interactive build tool.",,,403.0,33,True,1,,['scala3'],,,,,
3,bigdl,intel-analytics/bigdl,sci,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2023-09-28 14:01:04,2023-09-28 06:04:52,20475,442.0,1123.0,237,7202.0,799.0,1255.0,4401,2023-04-24 02:17:43,2.3.0,,,18.0,Accelerating LLM with low-bit (INT3 / INT4 / NF4 / INT5 / INT8) optimizations using bigdl-llm.,45.0,45.0,182.0,33,True,1,,,,,,,
4,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-09-28 13:44:54,2023-09-28 02:52:23,7338,130.0,1196.0,114,6013.0,373.0,2041.0,3877,2023-09-26 04:58:40,2.0.18,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",887.0,,674.0,32,True,1,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2023-09-26 04:58:40,887.0,,
5,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2023-09-28 14:42:43,2023-09-28 14:42:43,26826,83.0,3630.0,588,11548.0,928.0,7107.0,12788,2023-09-20 12:35:23,2.8.5,,,44.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",15.0,15.0,1048.0,30,False,1,,['scala3'],,,,,
6,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2023-09-28 18:22:13,2023-09-28 18:18:40,38275,1061.0,27668.0,2045,43143.0,262.0,,36829,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,2947.0,29,True,1,,,,,,,
7,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2023-09-28 17:26:51,2023-09-28 16:22:05,11713,374.0,12963.0,1080,14463.0,1071.0,,25909,,,,,,Mirror of Apache Kafka.,19.0,19.0,1286.0,29,True,1,,,,,,,
8,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2023-09-28 16:46:33,2023-09-27 15:46:59,34077,485.0,12265.0,944,23462.0,1030.0,,22014,,,,,,Apache Flink.,15.0,15.0,1773.0,29,True,1,,,,,,,
9,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2023-09-28 13:14:52,2023-09-28 11:56:13,8339,89.0,666.0,99,13018.0,39.0,783.0,3437,2023-09-26 07:46:57,5.1.2,,,100.0,State of the Art Natural Language Processing.,342.0,342.0,108.0,29,True,1,,,,,,,
