,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
0,playframework,playframework/playframework,com.typesafe.play:play_3,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-10-25 13:23:59,2023-10-25 11:39:47,13317,326.0,4120.0,640,8289.0,451.0,3299.0,12456,2023-07-21 15:23:56,2.8.20,60.0,Play Framework.,43.0,21.0,962.0,34,https://search.maven.org/artifact/com.typesafe.play/play_3,2023-09-29 00:13:19,22.0,True,1,1.0,,
1,gitbucket,gitbucket/gitbucket,,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2023-10-25 22:37:16,2023-10-25 22:04:36,5817,68.0,1243.0,463,1656.0,332.0,1438.0,8976,2023-10-22 09:25:07,4.40.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,197.0,34,,,,True,1,1.0,715496.0,6221.0
2,sbt,sbt/sbt,,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2023-10-26 18:20:11,2023-10-25 14:23:02,11926,74.0,924.0,172,3161.0,774.0,3357.0,4690,2023-10-22 23:08:05,1.9.7,100.0,"sbt, the interactive build tool.",,,408.0,33,,,,True,1,,12006730.0,171524.0
3,bigdl,intel-analytics/bigdl,,sci,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2023-10-26 11:08:57,2023-10-26 11:08:57,20633,432.0,1123.0,238,7357.0,799.0,1286.0,4466,2023-04-24 02:17:43,2.3.0,18.0,Accelerate LLM with low-bit (FP4 / INT4 / FP8 / INT8) optimizations using bigdl-llm.,45.0,45.0,186.0,32,,,,True,1,,,
4,zio,zio/zio,dev.zio:zio_2.13,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-10-26 14:48:29,2023-10-26 13:54:15,7369,126.0,1197.0,114,6053.0,373.0,2050.0,3890,2023-09-26 04:58:40,2.0.18,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",887.0,,680.0,32,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-09-26 04:58:40,887.0,True,1,,,
5,akka,akka/akka,,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2023-10-26 15:48:29,2023-10-26 15:48:28,26882,135.0,3630.0,588,11607.0,928.0,7116.0,12789,2023-10-23 12:28:33,2.9.0,46.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1048.0,30,,,,False,1,,,
6,spark,apache/spark,,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2023-10-26 17:51:34,2023-10-26 16:54:34,38577,1066.0,27668.0,2036,43513.0,262.0,,37062,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,2965.0,29,,,,True,1,,,
7,kafka,apache/kafka,,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2023-10-26 18:18:38,2023-10-26 17:30:39,11828,358.0,12963.0,1073,14644.0,1071.0,,26091,,,,Mirror of Apache Kafka.,25.0,25.0,1297.0,29,,,,True,1,,,
8,flink,apache/flink,,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2023-10-26 17:00:45,2023-10-26 15:18:58,34141,348.0,12265.0,944,23590.0,1030.0,,22126,,,,Apache Flink.,21.0,21.0,1782.0,29,,,,True,1,,,
9,spark-nlp,johnsnowlabs/spark-nlp,,sci,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2023-10-26 18:33:35,2023-10-26 18:06:56,8374,96.0,666.0,98,13045.0,39.0,792.0,3473,2023-10-10 20:26:17,5.1.3,100.0,State of the Art Natural Language Processing.,349.0,349.0,108.0,29,,,,True,1,,,
10,mill,com-lihaoyi/mill,,development-cycle,,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2023-10-25 13:23:47,2023-10-24 08:48:31,3251,113.0,283.0,46,1913.0,102.0,680.0,1923,2023-10-04 10:00:57,0.11.5,99.0,Your shiny new Java/Scala build tool!.,,,196.0,29,,,,True,2,,1244864.0,18306.0
11,gatling,gatling/gatling,,test,,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2023-10-13 13:08:03,2023-10-09 08:18:52,10216,50.0,1170.0,234,816.0,47.0,3609.0,6091,,,,Modern Load Testing as Code.,23.0,23.0,227.0,28,,,,True,1,,,
12,circe,circe/circe,io.circe:circe-core_2.13,json,"['scala3', 'scalajs']",https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-10-26 14:37:45,2023-10-25 21:48:44,2987,16.0,527.0,67,1677.0,197.0,410.0,2436,2023-08-31 00:05:46,0.14.6,69.0,Yet another JSON library for Scala.,441.0,,268.0,28,https://search.maven.org/artifact/io.circe/circe-core_2.13,2023-08-31 00:05:46,441.0,True,1,,,
13,coursier,coursier/coursier,,sbt,['scalajs'],https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2023-10-26 15:24:02,2023-10-23 07:42:23,4125,29.0,294.0,55,1791.0,366.0,713.0,1981,2023-09-09 14:44:24,2.1.7,100.0,Pure Scala Artifact Fetching.,,,138.0,28,,,,True,1,,9338699.0,186773.0
14,finagle,twitter/finagle,,distributed,,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2023-10-16 15:18:08,2023-10-16 15:18:07,8132,6.0,1468.0,561,546.0,62.0,349.0,8711,2022-12-26 14:39:38,finagle-22.12.0,82.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,520.0,27,,,,True,2,,,
15,Snowplow,snowplow/snowplow,,sci,,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2023-10-23 15:03:30,2023-10-23 15:03:28,6696,32.0,1212.0,267,491.0,58.0,3904.0,6600,2022-01-31 21:28:26,22.01,85.0,"The enterprise-grade behavioral data engine (web, mobile, server-side, webhooks), running cloud-natively on AWS and GCP.",21.0,21.0,102.0,27,,,,True,1,,5284.0,42.0
16,cats,typelevel/cats,,toolkits,"['scala3', 'scalajs']",https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2023-10-25 00:54:48,2023-10-25 00:51:13,6688,81.0,1233.0,185,3323.0,224.0,980.0,5058,2023-08-14 02:57:50,2.10.0,64.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,546.0,27,,,,False,1,,,
17,scio,spotify/scio,,bigdata,,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2023-10-26 14:33:51,2023-10-26 14:07:21,5019,77.0,506.0,119,3816.0,153.0,1117.0,2491,2023-10-26 13:36:44,0.13.5,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,207.0,27,,,,True,2,,10984.0,140.0
18,http4s,http4s/http4s,,http,"['scala3', 'scalajs']",https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-10-24 12:35:15,2023-10-23 05:27:45,17203,127.0,777.0,74,5787.0,318.0,1135.0,2464,2023-07-19 21:15:06,0.23.23,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,453.0,27,,,,True,1,,,
19,metals,scalameta/metals,,development-cycle,['scala3'],https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2023-10-26 16:55:59,2023-10-26 15:18:06,8110,216.0,299.0,46,3877.0,256.0,1431.0,1944,2023-10-17 13:35:19,1.1.0,56.0,Scala language server with rich IDE features.,,,175.0,27,,,,True,2,1.0,29.0,0.0
20,tapir,softwaremill/tapir,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-10-26 15:29:41,2023-10-26 14:53:45,8391,421.0,363.0,51,2528.0,113.0,625.0,1251,2023-10-26 17:51:54,1.8.3,100.0,"Declarative, type-safe web endpoints library.",,,262.0,27,,,,True,1,,,
21,shapeless,milessabin/shapeless,,toolkits,"['scala3', 'scalajs']",https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-10-23 04:51:47,2023-10-23 04:51:46,2700,10.0,537.0,107,925.0,34.0,381.0,3340,2022-09-12 22:32:36,2.3.10,7.0,Generic programming for Scala.,113.0,113.0,154.0,26,,,,True,1,,,
22,ammonite,com-lihaoyi/ammonite,,toolkits,['scala3'],https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2023-10-26 14:11:08,2023-09-29 08:14:15,2740,7.0,367.0,66,577.0,128.0,675.0,2573,2023-09-28 05:09:12,2.5.11,100.0,Scala Scripting.,,,137.0,26,,,,True,1,,870671.0,10749.0
23,scalapb,scalapb/scalapb,,data,"['scala3', 'scalajs']",https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2023-10-25 04:52:40,2023-10-25 04:52:40,2425,39.0,268.0,45,1043.0,16.0,546.0,1267,2023-10-17 23:52:06,0.11.14,100.0,Protocol buffer compiler for Scala.,,,121.0,26,,,,True,1,,420859.0,4951.0
24,bloop,scalacenter/bloop,,development-cycle,['scalajs'],https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2023-10-25 14:51:04,2023-10-25 14:39:23,5155,93.0,194.0,28,1447.0,126.0,595.0,856,2023-09-01 15:57:11,1.5.11,56.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,138.0,26,,,,True,2,,165680.0,2401.0
25,tinylog,tinylog-org/tinylog,,logging,,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2023-10-26 07:44:53,2023-10-24 13:25:05,1183,19.0,73.0,13,349.0,19.0,210.0,630,2023-05-13 21:12:43,2.6.2,78.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1226.0,1226.0,19.0,26,,,,True,1,,27825.0,260.0
26,scala-cli,VirtusLab/scala-cli,,development-cycle,['scala3'],https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-04-23 10:35:04,2023-10-26 14:43:12,2023-10-26 14:43:03,3691,160.0,95.0,22,1733.0,181.0,528.0,447,2023-10-25 13:24:01,1.0.5,41.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,70.0,26,,,,True,2,,605297.0,23280.0
27,smile,haifengl/smile,,sci,['scala3'],https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2023-08-17 10:06:43,2023-08-17 10:06:38,3136,4.0,1119.0,274,173.0,12.0,567.0,5833,2023-06-14 12:20:00,3.0.2,25.0,Statistical Machine Intelligence & Learning Engine.,21.0,21.0,70.0,25,,,,False,2,,10897.0,119.0
28,scala-js,scala-js/scala-js,,scala-js,['scalajs'],https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2023-10-18 13:12:02,2023-10-18 13:12:02,7152,63.0,389.0,147,2691.0,27.0,2172.0,4485,2023-09-27 07:34:32,1.14.0,24.0,"Scala.js, the Scala to JavaScript compiler.",,,102.0,25,,,,True,1,,,
