,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending
0,playframework,playframework/playframework,com.typesafe.play:play_3,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-12-07 13:06:46,2023-12-07 12:04:48,13391.0,286.0,4129.0,635.0,8385.0,487.0,3306.0,12473,2023-11-09 13:49:47,2.8.21,63.0,The Community Maintained High Velocity Web Framework For Java and Scala.,51.0,21.0,962.0,34,https://search.maven.org/artifact/com.typesafe.play/play_3,2023-10-25 13:37:03,30.0,True,1,,,
1,gitbucket,gitbucket/gitbucket,,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2023-12-07 12:52:48,2023-12-06 23:16:30,5847.0,68.0,1243.0,460.0,1691.0,332.0,1441.0,8994,2023-10-22 09:25:07,4.40.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,197.0,34,,,,True,1,724781.0,6194.0,
2,sbt,sbt/sbt,,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2023-12-07 06:56:00,2023-12-05 15:56:35,11940.0,63.0,934.0,171.0,3171.0,774.0,3372.0,4722,2023-10-22 23:08:05,1.9.7,100.0,"sbt, the interactive build tool.",,,419.0,33,,,,True,1,12732811.0,179335.0,
3,bigdl,intel-analytics/bigdl,,sci,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2023-12-07 12:17:01,2023-12-07 11:02:41,20863.0,470.0,1163.0,239.0,7627.0,908.0,1319.0,4579,2023-11-13 02:02:20,2.4.0,19.0,Accelerate LLM with low-bit (FP4 / INT4 / FP8 / INT8) optimizations using bigdl-llm.,46.0,46.0,194.0,32,,,,True,1,57.0,0.0,
4,zio,zio/zio,dev.zio:zio_2.13,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-11-29 10:58:59,2023-11-29 10:58:58,7408.0,114.0,1211.0,115.0,6098.0,358.0,2070.0,3909,2023-11-06 14:58:35,2.0.19,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",927.0,,685.0,32,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-11-06 14:58:35,927.0,True,1,,,
5,akka,akka/akka,,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2023-12-07 15:13:59,2023-12-07 15:13:59,26916.0,130.0,3629.0,587.0,11645.0,864.0,7126.0,12832,2023-10-23 12:28:33,2.9.0,47.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1048.0,30,,,,False,1,,,
6,spark,apache/spark,,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2023-12-07 18:28:30,2023-12-07 18:28:27,39131.0,1102.0,28033.0,2033.0,44211.0,220.0,,37348,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,2986.0,29,,,,True,1,,,
7,kafka,apache/kafka,,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2023-12-07 18:13:40,2023-12-07 18:13:39,12047.0,398.0,12963.0,1067.0,14961.0,1071.0,,26351,,,,Mirror of Apache Kafka.,25.0,25.0,1311.0,29,,,,True,1,,,
8,flink,apache/flink,,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2023-12-07 17:39:42,2023-12-07 12:58:50,34422.0,423.0,12914.0,945.0,23876.0,1082.0,,22378,,,,Apache Flink.,21.0,21.0,1805.0,29,,,,True,1,,,
9,finagle,twitter/finagle,,distributed,,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2023-11-05 01:11:35,2023-11-05 01:11:34,8144.0,17.0,1474.0,559.0,547.0,58.0,356.0,8713,2023-11-02 20:44:41,finagle-23.11.0,83.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,523.0,29,,,,True,1,,,
