,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2024-02-29 12:50:26,2024-02-29 00:53:45,5890.0,49.0,1243.0,461.0,1738.0,332.0,1445.0,9041,2023-10-22 09:25:07,4.40.0,729233.0,6128.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,197.0,34,True,1,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-02-29 14:16:15,2024-02-29 14:16:14,13512.0,132.0,4086.0,637.0,8530.0,471.0,3317.0,12484,2024-01-10 10:07:31,3.0.1,,,65.0,The Community Maintained High Velocity Web Framework For Java and Scala.,59.0,21.0,967.0,33,True,1,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2023-10-25 13:37:03,38.0,
2,bigdl,intel-analytics/bigdl,sci,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2024-02-29 16:55:48,2024-02-29 12:00:53,21387.0,556.0,1140.0,238.0,8197.0,969.0,1357.0,4792,2023-11-13 02:02:20,2.4.0,241.0,3.0,19.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, etc.) on Intel..",47.0,47.0,201.0,33,True,1,,,,,,1.0
3,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-02-27 09:56:58,2024-02-19 08:48:13,11962.0,26.0,934.0,171.0,3197.0,774.0,3399.0,4738,2024-02-23 05:52:27,1.9.9,14025534.0,192130.0,100.0,"sbt, the interactive build tool.",,,419.0,32,True,1,,['scala3'],,,,
4,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-02-29 16:37:19,2024-02-29 16:17:03,7468.0,60.0,1233.0,115.0,6173.0,359.0,2102.0,3962,2024-01-03 00:44:44,2.0.21,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",932.0,,696.0,32,True,1,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2024-01-03 00:44:44,932.0,
5,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-02-29 08:01:28,2024-02-28 15:06:07,26969.0,60.0,3624.0,584.0,11709.0,869.0,7137.0,12889,2024-02-27 13:44:59,2.9.2,,,49.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1053.0,30,False,1,,['scala3'],,,,
6,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2024-02-29 17:24:52,2024-02-29 16:13:46,40010.0,988.0,27799.0,2034.0,45310.0,186.0,,37933,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3017.0,29,True,1,,,,,,
7,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-02-29 17:49:00,2024-02-29 15:01:21,12424.0,437.0,13460.0,1074.0,15443.0,1104.0,,26920,,,,,,Mirror of Apache Kafka.,25.0,25.0,1344.0,29,True,1,,,,,,
8,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-02-29 16:09:33,2024-02-29 12:22:10,34975.0,598.0,13106.0,946.0,24400.0,1137.0,,22888,,,,,,Apache Flink.,21.0,21.0,1829.0,29,True,1,,,,,,
9,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2024-02-29 16:25:29,2024-02-27 10:53:12,8482.0,106.0,693.0,100.0,13147.0,45.0,811.0,3625,2024-02-27 13:48:42,5.3.0,,,100.0,State of the Art Natural Language Processing.,396.0,396.0,112.0,29,True,1,,,,,,
10,mill,com-lihaoyi/mill,development-cycle,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2024-02-29 12:57:04,2024-02-29 09:22:15,3367.0,86.0,330.0,46.0,2058.0,122.0,721.0,1938,2024-02-05 19:00:38,0.11.7,1410104.0,19584.0,100.0,Your shiny new Java/Scala build tool!.,,,212.0,29,True,2,,,,,,
11,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2024-02-09 17:18:51,2024-02-09 17:18:51,8149.0,5.0,1474.0,556.0,548.0,58.0,357.0,8739,2023-11-02 20:44:41,finagle-23.11.0,,,83.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,525.0,28,True,2,,,,,,
12,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2024-02-29 11:02:17,2024-02-29 11:02:09,10434.0,148.0,1169.0,232.0,827.0,45.0,3657.0,6209,,,,,,Modern Load Testing as Code.,23.0,23.0,233.0,28,True,1,,,,,,
13,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2024-02-29 15:34:34,2024-02-28 11:56:26,4193.0,31.0,306.0,56.0,1850.0,375.0,721.0,1994,2024-02-08 00:37:47,2.1.9,11363765.0,210440.0,100.0,Pure Scala Artifact Fetching.,,,140.0,28,True,1,,['scalajs'],,,,
14,Snowplow,snowplow/snowplow,sci,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2024-02-29 15:04:07,2024-02-29 15:03:52,6741.0,37.0,1212.0,265.0,491.0,57.0,3906.0,6707,2022-01-31 21:28:26,22.01,5820.0,45.0,85.0,"The enterprise-grade behavioral data engine (web, mobile, server-side, webhooks), running cloud-natively on AWS and GCP.",21.0,21.0,102.0,27,True,1,,,,,,
15,scio,spotify/scio,bigdata,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2024-02-29 13:51:48,2024-02-29 13:18:13,5227.0,154.0,515.0,116.0,4025.0,134.0,1140.0,2510,2024-02-29 13:45:38,0.14.2,11224.0,142.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,222.0,27,True,2,,,,,,
16,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2024-02-29 08:24:41,2024-02-27 21:03:14,17357.0,88.0,781.0,72.0,5856.0,323.0,1147.0,2494,2024-01-03 18:56:05,0.23.25,,,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,460.0,27,True,1,,"['scala3', 'scalajs']",,,,
17,metals,scalameta/metals,development-cycle,https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2024-02-29 17:13:48,2024-02-29 14:11:19,8414.0,211.0,314.0,45.0,4146.0,258.0,1553.0,1999,2024-02-15 14:35:00,1.2.2,29.0,0.0,59.0,Scala language server with rich IDE features.,,,182.0,27,True,2,,['scala3'],,,,
18,tinylog,tinylog-org/tinylog,logging,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2024-02-29 12:53:40,2024-02-25 20:13:49,1231.0,31.0,78.0,12.0,453.0,24.0,216.0,648,2024-01-31 20:36:31,2.7.0,34855.0,314.0,82.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1334.0,1334.0,21.0,27,True,1,,,,,,
19,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2024-02-29 01:59:59,2024-02-27 23:14:39,2712.0,10.0,539.0,104.0,938.0,34.0,381.0,3352,2022-09-12 22:32:36,2.3.10,,,7.0,Generic programming for Scala.,121.0,121.0,154.0,26,True,1,,"['scala3', 'scalajs']",,,,1.0
20,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2024-02-27 16:48:24,2024-02-22 09:02:15,2748.0,4.0,367.0,65.0,614.0,127.0,681.0,2575,2023-09-28 05:09:12,2.5.11,904574.0,10642.0,100.0,Scala Scripting.,,,140.0,26,True,1,,['scala3'],,,,
21,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2024-02-29 15:15:27,2024-01-24 22:06:29,2994.0,3.0,535.0,67.0,1698.0,157.0,411.0,2463,2023-08-31 00:05:46,0.14.6,,,69.0,Yet another JSON library for Scala.,485.0,,275.0,26,True,1,io.circe:circe-core_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.circe/circe-core_2.13,2023-08-31 00:05:46,485.0,
22,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2024-02-28 05:11:44,2024-02-28 05:11:43,2481.0,42.0,279.0,45.0,1086.0,18.0,555.0,1270,2024-01-21 01:35:46,0.11.15,452173.0,5080.0,100.0,Protocol buffer compiler for Scala.,,,123.0,26,True,1,,"['scala3', 'scalajs']",,,,
23,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2024-02-29 17:28:01,2024-02-29 00:50:38,8691.0,158.0,386.0,48.0,2751.0,135.0,663.0,1267,2024-02-21 21:16:46,1.9.10,,,100.0,"Declarative, type-safe web endpoints library.",,,282.0,26,True,1,,"['scala3', 'scalajs']",,,,
24,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2024-02-29 17:29:24,2024-02-29 17:29:24,8271.0,255.0,223.0,38.0,2401.0,143.0,1059.0,1083,2024-02-15 12:39:09,4.9.0,,,100.0,"Library to read, analyze, transform and generate Scala programs.",3.0,3.0,120.0,26,True,1,,['scalajs'],,,,
25,bloop,scalacenter/bloop,development-cycle,https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2024-02-29 08:44:24,2024-02-29 08:41:24,5300.0,111.0,202.0,27.0,1543.0,126.0,602.0,870,2024-02-06 10:40:28,1.5.15,176496.0,2417.0,60.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,144.0,26,True,2,,['scalajs'],,,,
