,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads,updated_github_id
0,playframework,playframework/playframework,com.typesafe.play:play_3,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-05-29 13:23:57,2024-05-28 20:23:50,13663.0,149.0,4092.0,631.0,8704.0,441.0,3354.0,12512,2024-05-07 09:46:57,3.0.3,69.0,The Community Maintained High Velocity Web Framework For Java and Scala.,80.0,21.0,974.0,33,https://search.maven.org/artifact/com.typesafe.play/play_3,2024-05-07 08:23:12,59.0,True,1,-1.0,,,
1,gitbucket,gitbucket/gitbucket,,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2024-05-24 20:08:23,2024-05-24 20:08:23,5927.0,36.0,1239.0,457.0,1774.0,343.0,1446.0,9074,2024-05-18 07:27:15,4.41.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,198.0,33,,,,True,1,,734109.0,6017.0,
2,sbt,sbt/sbt,,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-05-29 11:56:34,2024-05-23 06:50:43,12010.0,39.0,928.0,173.0,3226.0,785.0,3416.0,4759,2024-05-06 03:36:23,1.10.0,100.0,"sbt, the interactive build tool.",,,424.0,32,,,,True,1,-1.0,16238960.0,222451.0,
3,zio,zio/zio,dev.zio:zio_2.13,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-05-30 18:05:36,2024-05-29 08:00:06,7589.0,121.0,1250.0,112.0,6350.0,396.0,2139.0,4002,2024-05-11 09:35:59,2.1.1,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1140.0,,709.0,32,https://search.maven.org/artifact/dev.zio/zio_2.13,2024-05-11 09:35:59,1140.0,True,1,,,,
4,akka,akka/akka,,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-05-24 12:02:55,2024-05-23 07:29:24,27037.0,67.0,3586.0,579.0,11785.0,873.0,7154.0,12948,2024-05-07 11:01:44,2.9.3,50.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1057.0,30,,,,False,1,,,,
5,bigdl,intel-analytics/bigdl,,sci,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2024-05-30 10:27:29,2024-05-30 09:40:18,2885.0,583.0,1166.0,243.0,8866.0,822.0,1480.0,6108,2023-11-13 02:02:20,2.4.0,19.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, etc.) on..",51.0,51.0,100.0,30,,,,True,1,,491.0,5.0,intel-analytics/ipex-llm
6,spark,apache/spark,,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2024-05-30 18:42:19,2024-05-30 16:49:55,41167.0,1143.0,27972.0,2030.0,46783.0,199.0,,38599,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3073.0,29,,,,True,1,,,,
7,kafka,apache/kafka,,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-05-30 18:36:11,2024-05-30 18:36:11,12923.0,496.0,13522.0,1069.0,16139.0,1098.0,,27595,,,,Mirror of Apache Kafka.,25.0,25.0,1392.0,29,,,,True,1,,,,
8,flink,apache/flink,,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-05-30 17:52:49,2024-05-30 14:34:04,35396.0,415.0,12994.0,944.0,24857.0,1187.0,,23317,,,,Apache Flink.,21.0,21.0,1864.0,29,,,,True,1,,,,
9,finagle,twitter/finagle,,distributed,,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2024-05-07 20:17:55,2024-05-07 20:17:55,8159.0,10.0,1446.0,558.0,548.0,58.0,357.0,8751,2024-05-07 19:46:22,finagle-24.5.0,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,527.0,29,,,,True,1,,,,
