,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,updated_github_id,trending
0,playframework,playframework/playframework,com.typesafe.play:play_3,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-06-20 13:23:44,2024-06-18 14:16:44,13738.0,171.0,4092.0,631.0,8800.0,435.0,3364.0,12513,2024-06-17 15:43:29,3.0.4,72.0,The Community Maintained High Velocity Web Framework For Java and Scala.,83.0,21.0,976.0,33,https://search.maven.org/artifact/com.typesafe.play/play_3,2024-06-11 09:12:22,62.0,True,1,,,,
1,gitbucket,gitbucket/gitbucket,,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2024-06-20 04:37:35,2024-06-19 18:37:43,5940.0,40.0,1239.0,458.0,1786.0,343.0,1446.0,9081,2024-05-18 07:27:15,4.41.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,198.0,33,,,,True,1,735321.0,5978.0,,
2,sbt,sbt/sbt,,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-06-20 18:15:26,2024-05-23 06:50:43,12010.0,35.0,929.0,172.0,3227.0,787.0,3418.0,4762,2024-05-06 03:36:23,1.10.0,100.0,"sbt, the interactive build tool.",,,424.0,32,,,,True,1,17011121.0,229880.0,,
3,zio,zio/zio,dev.zio:zio_2.13,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-06-20 18:06:50,2024-06-19 19:02:49,7622.0,149.0,1250.0,112.0,6383.0,382.0,2151.0,4014,2024-06-20 03:32:16,2.1.4,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1155.0,,711.0,32,https://search.maven.org/artifact/dev.zio/zio_2.13,2024-06-12 04:20:11,1155.0,True,1,,,,
4,akka,akka/akka,,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-06-20 11:10:58,2024-06-20 07:11:41,27047.0,64.0,3586.0,579.0,11793.0,873.0,7156.0,12973,2024-06-20 08:33:06,2.9.4,51.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1058.0,30,,,,False,1,,,,
5,bigdl,intel-analytics/bigdl,,sci,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2024-06-20 18:22:55,2024-06-20 11:03:06,3020.0,592.0,1176.0,246.0,9022.0,848.0,1503.0,6170,2023-11-13 02:02:20,2.4.0,19.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, etc.) on..",51.0,51.0,103.0,30,,,,True,1,522.0,6.0,intel-analytics/ipex-llm,
6,spark,apache/spark,,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2024-06-20 18:29:03,2024-06-20 07:02:47,41352.0,1095.0,28035.0,2032.0,47017.0,234.0,,38749,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3081.0,29,,,,True,1,,,,
7,kafka,apache/kafka,,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-06-20 18:17:36,2024-06-20 18:17:36,13160.0,641.0,13576.0,1070.0,16406.0,1130.0,,27728,,,,Mirror of Apache Kafka.,25.0,25.0,1410.0,29,,,,True,1,,,,
8,flink,apache/flink,,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-06-20 16:20:39,2024-06-20 02:55:27,35493.0,414.0,13048.0,944.0,24952.0,1191.0,,23408,,,,Apache Flink.,21.0,21.0,1875.0,29,,,,True,1,,,,
9,gatling,gatling/gatling,,test,,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2024-06-20 13:25:48,2024-06-20 13:25:01,10621.0,208.0,1175.0,234.0,836.0,45.0,3691.0,6312,,,,Modern Load Testing as Code.,23.0,23.0,237.0,29,,,,True,1,,,,
10,circe,circe/circe,io.circe:circe-core_2.13,json,"['scala3', 'scalajs']",https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2024-06-19 12:17:00,2024-06-17 15:32:01,3101.0,71.0,530.0,66.0,1734.0,153.0,419.0,2474,2024-06-17 13:51:54,0.14.8,71.0,Yet another JSON library for Scala.,795.0,,281.0,29,https://search.maven.org/artifact/io.circe/circe-core_2.13,2024-04-26 06:52:57,795.0,True,1,,,,
11,coursier,coursier/coursier,,sbt,['scalajs'],https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2024-06-20 17:04:45,2024-06-20 16:06:54,4294.0,91.0,303.0,55.0,1903.0,382.0,724.0,2014,2024-05-06 12:58:28,2.1.10,100.0,Pure Scala Artifact Fetching.,,,146.0,29,,,,True,1,13552379.0,237761.0,,
12,mill,com-lihaoyi/mill,,development-cycle,,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2024-06-20 14:40:27,2024-06-18 08:52:31,3471.0,78.0,300.0,48.0,2173.0,140.0,752.0,1990,2024-02-05 19:00:38,0.11.7,100.0,Your shiny new Java/Scala build tool!.,,,217.0,29,,,,True,2,1600855.0,21063.0,,
13,finagle,twitter/finagle,,distributed,,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2024-05-07 20:17:55,2024-05-07 20:17:55,8159.0,9.0,1446.0,559.0,548.0,58.0,357.0,8756,2024-05-07 19:46:22,finagle-24.5.0,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,527.0,28,,,,True,2,,,,-1.0
14,smile,haifengl/smile,,sci,['scala3'],https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2024-06-19 23:25:31,2024-06-19 23:25:27,3817.0,488.0,1122.0,268.0,175.0,11.0,591.0,5960,2024-05-22 14:55:38,3.1.1,28.0,Statistical Machine Intelligence & Learning Engine.,21.0,21.0,72.0,28,,,,False,1,11394.0,115.0,,
15,spark-nlp,johnsnowlabs/spark-nlp,,sci,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2024-06-13 15:06:13,2024-05-27 14:06:00,8514.0,13.0,704.0,99.0,13257.0,53.0,834.0,3746,2024-04-05 17:44:10,5.3.3,100.0,State of the Art Natural Language Processing.,467.0,467.0,112.0,28,,,,True,1,,,,
16,cats,typelevel/cats,,toolkits,"['scala3', 'scalajs']",https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2024-06-18 10:43:30,2024-06-17 08:31:16,6860.0,87.0,1187.0,189.0,3395.0,237.0,992.0,5199,2024-05-28 15:37:17,2.12.0,66.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,557.0,27,,,,False,1,,,,
17,ammonite,com-lihaoyi/ammonite,,toolkits,['scala3'],https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2024-06-17 17:18:05,2024-06-17 15:01:15,2819.0,33.0,365.0,66.0,685.0,138.0,691.0,2595,2024-05-13 14:41:45,3.0.0-M2,100.0,Scala Scripting.,,,145.0,27,,,,True,1,923827.0,10868.0,,
18,scio,spotify/scio,,bigdata,,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2024-06-20 14:40:28,2024-06-17 07:59:27,5317.0,74.0,510.0,116.0,4131.0,129.0,1153.0,2530,2024-06-11 06:58:42,0.14.5,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,233.0,27,,,,True,2,11655.0,140.0,,
19,http4s,http4s/http4s,,http,"['scala3', 'scalajs']",https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2024-06-20 07:17:37,2024-06-18 17:09:57,17541.0,115.0,787.0,71.0,5924.0,317.0,1155.0,2517,2024-05-03 17:34:45,0.23.27,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,468.0,27,,,,True,1,,,,
20,metals,scalameta/metals,,development-cycle,['scala3'],https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2024-06-20 16:28:29,2024-06-20 11:01:47,8657.0,206.0,316.0,47.0,4386.0,258.0,1640.0,2037,2024-06-19 14:55:04,1.3.2,62.0,Scala language server with rich IDE features.,,,192.0,27,,,,True,2,29.0,0.0,,
21,tinylog,tinylog-org/tinylog,,logging,,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2024-06-15 01:26:34,2024-05-02 14:37:53,1248.0,16.0,82.0,12.0,511.0,33.0,217.0,680,2024-01-31 20:36:31,2.7.0,83.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1469.0,1469.0,23.0,27,,,,True,1,40773.0,354.0,,
22,shapeless,milessabin/shapeless,,toolkits,"['scala3', 'scalajs']",https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2024-06-06 15:45:06,2024-06-06 15:45:06,2721.0,7.0,530.0,103.0,952.0,33.0,383.0,3371,2024-05-18 09:37:07,2.3.12,9.0,Generic programming for Scala.,127.0,127.0,154.0,26,,,,True,1,,,,
23,elastic4s,sksamuel/elastic4s,com.sksamuel.elastic4s:elastic4s_2.13,db-clients,['scala3'],https://github.com/Philippus/elastic4s,https://github.com/Philippus/elastic4s,Apache-2.0,2013-06-10 20:23:57,2024-06-18 11:24:11,2024-06-17 14:29:28,4853.0,66.0,681.0,74.0,1927.0,11.0,1150.0,1634,2024-05-31 10:51:42,8.13.0,48.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",,,410.0,26,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,True,1,,,Philippus/elastic4s,
24,tapir,softwaremill/tapir,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2024-06-20 12:13:08,2024-06-20 12:13:07,8945.0,186.0,401.0,47.0,3007.0,148.0,714.0,1313,2024-06-14 20:51:28,1.10.9,100.0,Rapid development of self-documenting APIs.,,,297.0,26,,,,True,1,,,,
25,scalapb,scalapb/scalapb,,data,"['scala3', 'scalajs']",https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2024-06-18 15:21:06,2024-06-06 17:20:24,2520.0,29.0,278.0,44.0,1121.0,26.0,566.0,1287,2024-06-04 02:54:01,0.11.17,100.0,Protocol buffer compiler for Scala.,,,126.0,26,,,,True,1,482911.0,5306.0,,
26,scalameta,scalameta/scalameta,,toolkits,['scalajs'],https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2024-06-19 00:13:45,2024-06-18 16:22:07,8440.0,83.0,224.0,38.0,2517.0,143.0,1076.0,1097,2024-06-19 00:13:45,4.9.7,100.0,"Library to read, analyze, transform and generate Scala programs.",3.0,3.0,122.0,26,,,,True,1,,,,
27,bloop,scalacenter/bloop,,development-cycle,['scalajs'],https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2024-06-20 08:45:53,2024-06-20 08:43:06,5409.0,91.0,199.0,27.0,1603.0,128.0,609.0,880,2024-05-23 12:49:14,1.5.18,63.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,147.0,26,,,,True,2,187379.0,2433.0,,
28,scala-cli,VirtusLab/scala-cli,,development-cycle,['scala3'],https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-05-10 12:29:24,2024-06-20 15:17:46,2024-06-18 11:02:30,4107.0,151.0,119.0,22.0,2036.0,237.0,628.0,525,2024-05-24 10:43:12,1.3.2,52.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,82.0,26,,,,True,2,1043014.0,30676.0,,
29,Snowplow,snowplow/snowplow,,sci,,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2024-05-31 14:19:17,2024-05-31 14:19:17,6748.0,2.0,1212.0,267.0,491.0,57.0,3906.0,6773,2022-01-31 21:28:26,22.01,85.0,The leader in Next-Generation Customer Data Infrastructure.,21.0,21.0,102.0,25,,,,True,2,6400.0,48.0,,
30,slick,slick/slick,,db-clients,['scala3'],https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2024-06-10 04:37:42,2024-06-04 20:52:27,3426.0,68.0,608.0,143.0,1540.0,437.0,950.0,2642,2024-04-14 20:00:39,3.5.1,21.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,,,204.0,25,,,,True,1,,,,
31,sttp,softwaremill/sttp,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2024-06-20 12:20:44,2024-06-20 11:51:41,5711.0,114.0,299.0,40.0,1778.0,54.0,388.0,1429,2024-05-28 08:14:01,4.0.0-M16,100.0,The Scala HTTP client you always wanted!.,,,213.0,25,,,,True,2,,,,
32,scalikejdbc,scalikejdbc/scalikejdbc,org.scalikejdbc:scalikejdbc_2.13,db-clients,['scala3'],https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2024-06-18 04:27:17,2024-06-18 04:27:16,3343.0,33.0,226.0,58.0,1762.0,29.0,454.0,1261,2024-05-11 14:42:53,4.3.0,50.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,26.0,,109.0,25,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2024-05-11 08:27:12,26.0,True,1,,,,
33,eclair,acinq/eclair,,others,,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2024-06-20 16:01:20,2024-06-18 12:41:37,2619.0,14.0,254.0,92.0,2042.0,43.0,683.0,1212,2024-02-29 09:24:36,0.10.0,38.0,A scala implementation of the Lightning Network.,,,50.0,25,,,,True,1,45314.0,520.0,,
34,scala-js,scala-js/scala-js,,scala-js,['scalajs'],https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2024-06-20 13:24:38,2024-06-19 08:02:33,7288.0,36.0,383.0,146.0,2749.0,36.0,2190.0,4554,2024-03-19 10:40:51,1.16.0,26.0,"Scala.js, the Scala to JavaScript compiler.",,,103.0,24,,,,True,1,,,,
35,fs2,typelevel/fs2,,reactive,"['scala3', 'scalajs']",https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2024-06-19 09:25:52,2024-06-16 16:04:28,9668.0,61.0,591.0,90.0,2693.0,98.0,664.0,2334,2024-05-16 17:15:25,2.5.12,100.0,"Compositional, streaming I/O library for Scala.",,,320.0,24,,,,False,1,,,,
36,doobie,tpolecat/doobie,,db-clients,['scala3'],https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2024-06-20 02:27:46,2024-06-12 19:52:59,3572.0,65.0,349.0,66.0,1495.0,150.0,417.0,2129,2023-11-19 20:22:28,1.0.0-RC5,19.0,Functional JDBC layer for Scala.,,,171.0,24,,,,True,1,,,,
37,sbt-native-packager,sbt/sbt-native-packager,,sbt,,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2024-06-19 23:31:38,2024-06-19 23:31:38,1715.0,16.0,437.0,54.0,800.0,145.0,665.0,1591,2024-04-12 17:56:28,1.10.0,100.0,sbt Native Packager.,,,271.0,24,,,,True,1,,,,
38,argonaut,argonaut-io/argonaut,io.argonaut:argonaut_2.13,json,"['scala3', 'scalajs']",https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2024-06-17 03:53:10,2024-06-17 03:53:10,1696.0,24.0,112.0,24.0,698.0,30.0,168.0,546,2024-06-01 22:47:08,6.3.10,17.0,Purely functional JSON parser and library in scala.,44.0,,59.0,24,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2024-06-01 22:47:08,44.0,True,1,,,,
39,zeppelin,apache/zeppelin,,sci,,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2024-06-19 03:22:07,2024-06-06 12:04:39,5358.0,18.0,2776.0,319.0,4767.0,154.0,,6316,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",21.0,21.0,536.0,23,,,,True,2,,,,
40,quill,zio/zio-quill,,db-clients,"['zio', 'scala3', 'scalajs']",https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2024-06-19 15:05:32,2024-06-19 15:05:31,3563.0,26.0,344.0,63.0,2009.0,296.0,763.0,2140,2024-05-07 14:35:25,4.8.4,10.0,Compile-time Language Integrated Queries for Scala.,,,147.0,23,,,,True,1,,,,
