,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2024-09-03 23:20:28,2024-09-03 23:20:28,5971.0,43.0,1239.0,456.0,1818.0,343.0,1449.0,9129,2024-05-18 07:27:15,4.41.0,738663.0,5862.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,198.0,34,True,1,1.0,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-09-05 10:58:15,2024-09-05 10:58:15,13798.0,121.0,4093.0,631.0,8849.0,438.0,3367.0,12528,2024-07-24 10:19:22,3.0.5,,,74.0,The Community Maintained High Velocity Web Framework For Java and Scala.,83.0,21.0,979.0,33,True,1,,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2024-07-24 08:46:29,62.0,
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-09-03 15:30:41,2024-09-03 15:30:34,12038.0,28.0,932.0,171.0,3244.0,798.0,3435.0,4785,2024-07-07 22:35:01,1.10.1,19576390.0,254238.0,100.0,"sbt, the interactive build tool.",,,426.0,32,True,1,,,['scala3'],,,,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-09-05 15:53:57,2024-09-03 17:51:23,7759.0,155.0,1273.0,111.0,6550.0,390.0,2198.0,4063,2024-08-29 03:34:33,2.1.9,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1187.0,,720.0,32,True,1,,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2024-08-29 03:34:33,1187.0,
4,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-09-05 14:25:36,2024-09-05 14:25:36,27087.0,50.0,3591.0,575.0,11842.0,881.0,7164.0,13022,2024-08-19 10:29:04,2.9.5,,,53.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1059.0,30,False,1,,,['scala3'],,,,
5,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-09-05 17:51:51,2024-09-05 17:50:33,13669.0,645.0,13802.0,1064.0,17099.0,1144.0,,28300,,,,,,Mirror of Apache Kafka.,25.0,25.0,1449.0,29,True,1,,,,,,,
6,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-09-05 03:22:35,2024-09-05 03:22:35,35757.0,327.0,13217.0,947.0,25277.0,1220.0,,23767,,,,,,Apache Flink.,21.0,21.0,1904.0,29,True,1,,,,,,,
7,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2024-09-05 17:39:44,2024-09-05 17:37:33,3178.0,56.0,538.0,65.0,1751.0,119.0,445.0,2485,2024-07-01 13:25:51,0.14.9,,,72.0,Yet another JSON library for Scala.,844.0,,290.0,29,True,1,,io.circe:circe-core_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.circe/circe-core_2.13,2024-07-01 13:25:51,844.0,
8,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2024-09-03 22:41:27,2024-08-31 18:46:08,4336.0,56.0,303.0,56.0,1931.0,409.0,727.0,2031,2024-05-06 12:58:28,2.1.10,14965831.0,249430.0,100.0,Pure Scala Artifact Fetching.,,,146.0,29,True,1,,,['scalajs'],,,,
9,mill,com-lihaoyi/mill,development-cycle,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2024-09-05 11:15:10,2024-09-05 05:33:46,3648.0,189.0,313.0,48.0,2359.0,160.0,787.0,2027,2024-08-20 16:27:18,0.11.12,1715086.0,23176.0,100.0,"Mill is a fast JVM build tool that supports Java and Scala. Mill aims to make your projects build process performant,..",,,222.0,29,True,2,,,,,,,
