,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
0,playframework,playframework/playframework,com.typesafe.play:play_3,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-12-04 15:26:56,2024-12-04 14:55:46,13905.0,98.0,4097.0,626.0,8992.0,464.0,3368.0,12560,2024-11-29 09:56:40,3.0.6,76.0,The Community Maintained High Velocity Web Framework For Java and Scala.,85.0,21.0,982.0,33,https://search.maven.org/artifact/com.typesafe.play/play_3,2024-11-28 13:15:55,64.0,True,1,,,,
1,gitbucket,gitbucket/gitbucket,,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2024-12-19 06:19:44,2024-12-19 06:19:42,6030.0,47.0,1250.0,453.0,1878.0,351.0,1454.0,9176,2024-05-18 07:27:15,4.41.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,198.0,33,,,,True,1,744693.0,5772.0,,
2,sbt,sbt/sbt,,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-12-18 06:20:16,2024-12-18 02:50:15,12202.0,149.0,938.0,170.0,3435.0,821.0,3537.0,4813,2024-11-30 07:09:14,1.10.6,100.0,"sbt, the interactive build tool.",,,426.0,33,,,,True,1,22687124.0,294637.0,,
3,zio,zio/zio,dev.zio:zio_2.13,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-12-19 17:45:33,2024-12-19 17:28:56,7921.0,138.0,1301.0,113.0,6759.0,388.0,2270.0,4125,2024-12-19 12:51:12,2.1.14,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1241.0,,737.0,32,https://search.maven.org/artifact/dev.zio/zio_2.13,2024-11-20 06:04:06,1241.0,True,1,,,,
4,coursier,coursier/coursier,,sbt,['scalajs'],https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2024-12-19 15:42:28,2024-12-19 15:01:59,4601.0,224.0,312.0,58.0,2041.0,402.0,743.0,2060,2024-12-17 14:53:52,2.1.22,100.0,Pure Scala Artifact Fetching.,,,150.0,31,,,,True,1,13218020.0,227896.0,,
5,akka,akka/akka,,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-12-06 01:07:01,2024-11-29 12:20:18,27156.0,58.0,3592.0,572.0,11937.0,879.0,7185.0,13073,2024-10-28 08:05:39,2.8.8,60.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1060.0,30,,,,False,1,,,,
6,mill,com-lihaoyi/mill,,development-cycle,,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2024-12-18 08:20:03,2024-12-18 08:11:21,4153.0,419.0,359.0,52.0,2856.0,186.0,947.0,2251,2024-12-17 12:50:07,0.12.4,100.0,"Mill is a fast JVM build tool that supports Java, Scala and Kotlin. 2-4x faster than Gradle and 4-10x faster than..",,,241.0,30,,,,True,2,1875020.0,26408.0,,
7,kafka,apache/kafka,,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-12-19 17:32:39,2024-12-19 15:12:50,14555.0,774.0,14003.0,1062.0,18269.0,1024.0,,29098,,,,Mirror of Apache Kafka.,25.0,25.0,1488.0,29,,,,True,1,,,,
8,flink,apache/flink,,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-12-19 17:57:23,2024-12-19 17:57:23,36224.0,375.0,13369.0,939.0,25806.0,1242.0,,24283,,,,Apache Flink.,21.0,21.0,1953.0,29,,,,True,1,,,,
9,spark-nlp,johnsnowlabs/spark-nlp,,sci,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2024-12-19 12:10:02,2024-12-18 16:54:40,8638.0,46.0,715.0,101.0,13388.0,34.0,864.0,3891,2024-12-18 17:20:39,5.5.2,100.0,State of the Art Natural Language Processing.,531.0,531.0,114.0,29,,,,True,1,,,1.0,
