,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,zio,zio/zio,dev.zio:zio_2.13,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-04-24 07:38:34,2025-04-24 07:21:30,8200.0,233.0,1333.0,110.0,7088.0,202.0,2505.0,4199,2025-04-05 04:28:41,2.1.17,101.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",745.0,34,https://search.maven.org/artifact/dev.zio/zio_2.13,2025-04-05 04:28:41,1281.0,1281.0,True,1,,,,,
1,playframework,playframework/playframework,com.typesafe.play:play_3,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-04-23 09:03:04,2025-04-22 14:46:00,14149.0,174.0,4099.0,621.0,9191.0,469.0,3383.0,12564,2025-03-13 01:41:44,3.0.7,78.0,The Community Maintained High Velocity Web Framework For Java and Scala.,987.0,33,https://search.maven.org/artifact/com.typesafe.play/play_3,2025-03-12 23:53:13,87.0,66.0,True,1,21.0,,,,
2,gitbucket,gitbucket/gitbucket,,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-04-24 02:47:26,2025-04-24 02:47:26,6101.0,35.0,1251.0,451.0,1950.0,359.0,1464.0,9239,2025-01-20 15:47:10,4.42.1,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",199.0,33,,,21.0,,True,1,21.0,470864.0,3567.0,,
3,sbt,sbt/sbt,,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-04-01 04:00:25,2025-04-01 04:00:25,12275.0,47.0,950.0,165.0,3515.0,811.0,3598.0,4830,2025-03-17 05:55:22,1.10.11,100.0,"sbt, the interactive build tool.",429.0,33,,,,,True,1,,26122930.0,334909.0,,
4,coursier,coursier/coursier,,sbt,['scalajs'],https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2025-04-24 17:11:21,2025-04-24 16:01:32,4938.0,245.0,321.0,55.0,2201.0,429.0,759.0,2081,2025-01-09 20:59:06,2.1.24,100.0,Pure Scala Artifact Fetching.,153.0,31,,,,,True,1,,16052668.0,272079.0,,
5,akka,akka/akka,,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-04-24 16:27:41,2025-04-24 16:27:38,27219.0,57.0,3591.0,572.0,12013.0,879.0,7196.0,13144,2025-04-15 09:11:30,2.10.4,65.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",1061.0,30,,,21.0,,False,1,21.0,,,,
6,kafka,apache/kafka,,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-04-24 17:23:32,2025-04-24 17:23:31,15584.0,678.0,14323.0,1057.0,19548.0,265.0,,29958,,,,Mirror of Apache Kafka.,1530.0,29,,,25.0,,True,1,25.0,,,,
7,flink,apache/flink,,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-04-24 13:07:40,2025-04-24 13:07:39,36756.0,288.0,13469.0,932.0,26487.0,1239.0,,24794,,,,Apache Flink.,2007.0,29,,,21.0,,True,1,21.0,,,,
8,circe,circe/circe,io.circe:circe-core_2.13,json,"['scala3', 'scalajs']",https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2025-04-21 13:41:32,2025-04-14 17:45:42,3281.0,32.0,542.0,63.0,1803.0,116.0,455.0,2508,2025-04-21 13:41:32,0.14.13,76.0,Yet another JSON library for Scala.,290.0,29,https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-03-16 21:51:25,932.0,932.0,True,1,,,,,
9,spark,apache/spark,,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-04-24 11:21:46,2025-04-24 11:21:41,44238.0,827.0,28469.0,2017.0,50663.0,209.0,,40989,,,,Apache Spark - A unified analytics engine for large-scale data processing.,3218.0,28,,,,,True,1,,,,-1.0,
