,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-05-28 11:41:26,2025-05-28 11:41:26,6113.0,30.0,1251.0,449.0,1963.0,359.0,1464.0,9255,2025-01-20 15:47:10,4.42.1,472687.0,3554.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,199.0,33,True,1,,,,,,,
1,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-05-27 05:29:41,2025-05-24 06:38:08,12295.0,56.0,951.0,165.0,3544.0,812.0,3612.0,4839,2025-05-24 07:06:51,1.11.0,26265396.0,341109.0,100.0,"sbt, the interactive build tool.",,,429.0,33,True,1,['scala3'],,,,,,
2,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-05-29 13:19:52,2025-05-29 13:01:26,8258.0,175.0,1343.0,109.0,7161.0,190.0,2574.0,4210,2025-05-16 03:36:40,2.1.18,,,102.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1293.0,,747.0,33,True,1,"['scala3', 'scalajs']",dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,2025-05-16 03:36:40,1293.0,,
3,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-05-26 21:59:56,2025-05-26 21:59:53,14179.0,107.0,4097.0,621.0,9223.0,476.0,3388.0,12579,2025-05-20 12:29:09,2.2.6,227.0,2.0,100.0,The Community Maintained High Velocity Web Framework For Java and Scala.,87.0,21.0,986.0,32,True,1,"['scala3', 'scalajs']",com.typesafe.play:play_3,https://search.maven.org/artifact/com.typesafe.play/play_3,2025-03-12 23:53:13,66.0,,
4,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2025-05-22 10:42:08,2025-05-22 10:27:59,4955.0,133.0,321.0,55.0,2225.0,437.0,760.0,2084,2025-01-09 20:59:06,2.1.24,17053274.0,284221.0,100.0,Pure Scala Artifact Fetching.,,,153.0,30,True,1,['scalajs'],,,,,,
5,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-05-29 17:48:03,2025-05-29 17:48:03,15821.0,623.0,14409.0,1054.0,19847.0,251.0,,30180,,,,,,Mirror of Apache Kafka.,25.0,25.0,1540.0,29,True,1,,,,,,,
6,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-05-29 13:15:33,2025-05-29 06:50:32,36828.0,239.0,13537.0,933.0,26598.0,198.0,,24904,,,,,,Apache Flink.,21.0,21.0,2017.0,29,True,1,,,,,,,
7,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-05-27 07:34:59,2025-05-27 07:10:46,27233.0,42.0,3586.0,572.0,12033.0,884.0,7198.0,13163,2025-05-26 11:46:32,2.10.6,,,70.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1061.0,29,False,1,['scala3'],,,,,,
8,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2025-05-28 17:32:53,2025-05-28 14:44:11,8847.0,122.0,725.0,101.0,13468.0,25.0,883.0,3985,2025-05-28 15:19:59,6.0.2,,,100.0,State of the Art Natural Language Processing.,607.0,607.0,115.0,29,True,1,,,,,,,
9,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2025-05-12 17:02:37,2025-05-12 16:59:27,3287.0,30.0,544.0,63.0,1808.0,116.0,455.0,2517,2025-04-21 14:05:23,0.14.13,,,76.0,Yet another JSON library for Scala.,936.0,,296.0,29,True,1,"['scala3', 'scalajs']",io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-04-21 14:05:23,936.0,,
10,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-05-29 13:18:04,2025-05-29 13:17:37,44516.0,727.0,28570.0,2016.0,51014.0,188.0,,41184,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3235.0,28,True,1,,,,,,,
11,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2025-05-23 14:36:37,2025-05-23 06:53:19,11076.0,87.0,1206.0,231.0,845.0,30.0,3753.0,6663,,,,,,Modern Load Testing as Code.,23.0,23.0,243.0,28,True,1,,,,,,,
12,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2025-04-23 17:10:39,2025-04-23 17:10:39,8206.0,5.0,1451.0,550.0,550.0,62.0,357.0,8826,2024-05-07 19:46:22,finagle-24.5.0,,,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,533.0,27,True,2,,,,,,,
13,bigdl,intel-analytics/bigdl,sci,https://github.com/intel/ipex-llm,https://github.com/intel/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2025-05-27 06:40:08,2025-05-26 05:21:54,4090.0,106.0,1314.0,259.0,10251.0,1165.0,1755.0,7938,2025-04-09 06:51:51,0.1.0-mas,690.0,7.0,22.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM,..",,,116.0,27,True,1,,,,,,intel/ipex-llm,
14,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2025-05-26 12:13:18,2025-05-25 05:36:49,7106.0,45.0,1213.0,183.0,3492.0,246.0,1002.0,5322,2025-01-20 19:03:39,2.13.0,,,67.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,570.0,27,False,1,"['scala3', 'scalajs']",,,,,,
