,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-09-11 08:29:06,2025-09-11 08:29:06,6183.0,60.0,1253.0,448.0,2028.0,348.0,1494.0,9293,2025-06-29 04:32:51,4.43.0,472303.0,3472.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,199.0,34,True,1,,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-09-11 09:17:29,2025-09-11 09:11:27,14358.0,167.0,4085.0,617.0,9441.0,487.0,3397.0,12583,2025-09-11 14:13:44,3.0.9,384.0,3.0,100.0,The Community Maintained High Velocity Web Framework For Java and Scala.,87.0,21.0,989.0,33,True,1,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2025-06-30 22:10:05,66.0,,
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-09-09 16:50:08,2025-09-09 16:50:08,17327.0,158.0,950.0,165.0,3636.0,812.0,3647.0,4863,2025-09-06 23:15:12,1.11.6,28122533.0,401750.0,100.0,"sbt, the interactive build tool.",,,496.0,33,True,1,,['scala3'],,,,,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-09-11 00:47:51,2025-09-11 00:13:49,8423.0,127.0,1369.0,108.0,7378.0,154.0,2600.0,4271,2025-09-04 05:05:37,2.1.21,,,104.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1305.0,,748.0,33,True,1,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2025-07-21 06:06:47,1305.0,,
4,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-09-11 15:35:08,2025-09-11 15:34:54,45491.0,887.0,28782.0,2018.0,52272.0,231.0,,41870,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3286.0,29,True,1,,,,,,1.0,
5,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-09-11 14:06:25,2025-09-11 14:06:25,16316.0,398.0,14622.0,1054.0,20518.0,249.0,,30876,,,,,,Mirror of Apache Kafka.,25.0,25.0,1587.0,29,True,1,,,,,,,
6,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-09-11 15:12:05,2025-09-11 15:12:05,37087.0,219.0,13748.0,930.0,26964.0,189.0,,25246,,,,,,Apache Flink.,21.0,21.0,2049.0,29,True,1,,,,,,,
7,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-09-11 14:16:18,2025-09-11 08:49:15,27278.0,42.0,3589.0,566.0,12082.0,895.0,7203.0,13211,2025-08-15 14:29:53,2.10.9,,,73.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1061.0,29,False,1,,['scala3'],,,,,
8,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2025-09-03 22:27:36,2025-09-01 13:48:04,8931.0,66.0,732.0,100.0,13526.0,22.0,886.0,4041,2025-09-01 13:57:34,6.1.3,,,100.0,State of the Art Natural Language Processing.,613.0,613.0,116.0,29,True,1,,,,,,,
9,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2025-09-08 07:05:39,2025-09-08 07:02:14,3308.0,15.0,544.0,62.0,1828.0,118.0,455.0,2518,2025-06-13 23:54:16,0.14.14,,,77.0,Yet another JSON library for Scala.,946.0,,296.0,29,True,1,io.circe:circe-core_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-06-13 23:54:16,946.0,,
