,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
0,sbt,sbt/sbt,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2026-02-05 16:21:31,2026-02-05 16:21:31,17735.0,299.0,968.0,156.0,3934.0,777.0,3934.0,4894.0,2026-02-04 05:36:49,1.12.2,31475384.0,484236.0,100.0,"sbt, the interactive build tool.",527.0,35,True,1.0,,,,,,,,
1,gitbucket,gitbucket/gitbucket,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2026-02-04 06:44:39,2026-02-04 06:44:37,6281.0,65.0,1260.0,439.0,2140.0,333.0,1505.0,9342.0,2026-01-10 02:59:24,4.45.0,468658.0,3396.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",201.0,34,True,1.0,21.0,21.0,,,,,,
2,playframework,playframework/playframework,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2026-02-05 13:58:24,2026-02-04 10:58:25,14595.0,89.0,4073.0,607.0,9659.0,481.0,3402.0,12625.0,2025-12-23 17:28:03,3.0.10,695.0,6.0,100.0,The Community Maintained High Velocity Web Framework For Java and Scala.,989.0,33,True,1.0,89.0,21.0,com.typesafe.play:play_3,https://search.maven.org/artifact/com.typesafe.play/play_3,2025-12-22 00:16:52,68.0,,
3,zio,zio/zio,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2026-02-05 18:39:00,2026-02-05 18:19:26,8607.0,154.0,1389.0,107.0,7614.0,153.0,2627.0,4339.0,2025-12-28 04:41:57,2.1.24,,,108.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",754.0,33,True,1.0,1340.0,,dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,2025-12-28 04:41:57,1340.0,,
4,spark,apache/spark,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2026-02-05 19:02:38,2026-02-05 19:02:33,46953.0,939.0,29016.0,2010.0,54119.0,239.0,,42751.0,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,3373.0,29,True,1.0,,,,,,,,
5,kafka,apache/kafka,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2026-02-04 18:06:12,2026-02-04 18:06:12,16915.0,353.0,14938.0,1052.0,21408.0,263.0,,31839.0,,,,,,Mirror of Apache Kafka.,1634.0,29,True,1.0,25.0,25.0,,,,,,
6,flink,apache/flink,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2026-02-05 18:15:25,2026-02-05 18:15:25,37469.0,208.0,13851.0,925.0,27525.0,241.0,,25763.0,,,,,,Apache Flink.,2068.0,29,True,1.0,21.0,21.0,,,,,,
7,akka,akka/akka,distributed,['scala3'],https://github.com/akka/akka-core,https://github.com/akka/akka-core,,2009-02-16 12:51:54,2026-02-05 14:09:36,2026-02-05 14:09:33,27332.0,24.0,3520.0,553.0,12149.0,876.0,7216.0,13262.0,2026-01-13 08:31:31,2.10.15,,,80.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",1063.0,29,False,1.0,21.0,21.0,,,,,akka/akka-core,
8,spark-nlp,johnsnowlabs/spark-nlp,sci,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2026-02-04 09:39:16,2026-01-27 13:07:51,9034.0,50.0,741.0,99.0,13586.0,20.0,894.0,4106.0,2026-01-29 15:14:56,6.3.2,,,100.0,State of the Art Natural Language Processing.,116.0,29,True,1.0,619.0,619.0,,,,,,
9,circe,circe/circe,json,"['scala3', 'scalajs']",https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2026-02-02 08:46:40,2026-02-02 08:43:38,3344.0,12.0,544.0,60.0,1855.0,122.0,457.0,2530.0,2025-09-30 17:11:52,0.14.15,,,78.0,Yet another JSON library for Scala.,296.0,29,True,1.0,946.0,,io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-06-13 23:54:16,946.0,,1.0
10,gatling,gatling/gatling,test,,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2026-02-02 20:43:42,2026-02-02 20:43:27,11260.0,53.0,1216.0,227.0,851.0,32.0,3799.0,6856.0,,,,,,Modern Load Testing as Code.,245.0,28,True,1.0,23.0,23.0,,,,,,
11,smile,haifengl/smile,sci,['scala3'],https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2026-02-01 21:21:47,2026-02-01 21:21:41,5388.0,329.0,1152.0,262.0,177.0,6.0,654.0,6335.0,2026-01-08 13:07:59,5.1.0,13491.0,113.0,39.0,Statistical Machine Intelligence & Learning Engine.,72.0,28,False,1.0,21.0,21.0,,,,,,
12,coursier,coursier/coursier,sbt,['scalajs'],https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2026-01-21 23:18:10,2026-01-07 12:56:42,5091.0,36.0,326.0,53.0,2333.0,454.0,769.0,2110.0,2025-01-09 20:59:06,2.1.24,16567722.0,258870.0,100.0,Pure Scala Artifact Fetching.,156.0,28,True,1.0,,,,,,,,
13,finagle,twitter/finagle,distributed,,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2026-02-02 16:11:45,2026-02-02 16:11:44,8214.0,4.0,1448.0,545.0,553.0,65.0,357.0,8868.0,2024-05-07 19:46:22,finagle-24.5.0,,,84.0,"A fault tolerant, protocol-agnostic RPC system.",535.0,27,True,2.0,21.0,21.0,,,,,,
